symbol,date,open,high,low,close,volume
SPY,1993-01-29,31.32,31.32,31.16,31.30,1003200
SPY,1993-02-01,31.32,31.52,31.32,31.52,480500
SPY,1993-02-02,31.50,31.61,31.44,31.58,201300
SPY,1993-02-03,31.63,31.94,31.61,31.91,529400
SPY,1993-02-04,32.03,32.12,31.68,32.05,531500
SPY,1993-02-05,32.04,32.10,31.86,32.04,492100
SPY,1993-02-08,32.04,32.15,31.99,32.04,596100
SPY,1993-02-09,31.91,31.91,31.73,31.80,122100
SPY,1993-02-10,31.81,31.88,31.72,31.85,379600
SPY,1993-02-11,31.89,32.14,31.89,32.00,19500
SPY,1993-02-12,31.97,31.97,31.77,31.77,42500
SPY,1993-02-16,31.68,31.68,30.92,30.96,374800
SPY,1993-02-17,30.97,31.01,30.83,30.94,210900
SPY,1993-02-18,31.29,31.29,30.49,30.91,378100
SPY,1993-02-19,30.92,31.02,30.87,31.02,34900
SPY,1993-02-22,31.12,31.19,31.03,31.15,513600
SPY,1993-02-23,31.22,31.25,30.96,31.11,373700
SPY,1993-02-24,31.14,31.52,31.14,31.52,26300
SPY,1993-02-25,31.50,31.61,31.44,31.58,44500
SPY,1993-02-26,31.66,31.66,31.48,31.63,66200
SPY,1993-03-01,31.73,31.73,31.49,31.53,66500
SPY,1993-03-02,31.56,32.00,31.51,32.00,182400
SPY,1993-03-03,32.05,32.17,32.01,32.14,280100
SPY,1993-03-04,32.19,32.19,31.96,31.96,89500
SPY,1993-03-05,32.01,32.15,31.85,31.87,40000
SPY,1993-03-08,31.94,32.58,31.94,32.58,50800
SPY,1993-03-09,32.52,32.55,32.41,32.47,169300
SPY,1993-03-10,32.47,32.54,32.35,32.54,194400
SPY,1993-03-11,32.57,32.65,32.41,32.45,70900
SPY,1993-03-12,32.19,32.21,31.92,32.11,643600
SPY,1993-03-15,32.10,32.27,32.10,32.27,310800
SPY,1993-03-16,32.27,32.37,32.27,32.27,30800
SPY,1993-03-17,32.23,32.23,32.03,32.07,21800
SPY,1993-03-18,32.21,32.41,32.21,32.27,59300
SPY,1993-03-19,32.49,32.49,32.31,32.31,66900
SPY,1993-03-22,32.00,32.21,31.98,32.13,183400
SPY,1993-03-23,32.23,32.25,32.15,32.20,55200
SPY,1993-03-24,32.15,32.33,32.00,32.20,37200
SPY,1993-03-25,32.23,32.47,32.18,32.40,110100
SPY,1993-03-26,32.38,32.40,32.20,32.23,101500
SPY,1993-03-29,32.25,32.51,32.25,32.36,87100
SPY,1993-03-30,32.41,32.45,32.36,32.45,56000
SPY,1993-03-31,32.53,32.63,32.42,32.42,111600
SPY,1993-04-01,32.47,32.47,32.25,32.31,129500
SPY,1993-04-02,32.04,32.04,31.63,31.63,59400
SPY,1993-04-05,31.89,31.89,31.71,31.80,172200
SPY,1993-04-06,31.87,31.87,31.62,31.71,129700
SPY,1993-04-07,31.75,31.81,31.69,31.81,28000
SPY,1993-04-08,31.95,31.95,31.64,31.77,180800
SPY,1993-04-12,32.09,32.25,32.05,32.23,348500
SPY,1993-04-13,32.21,32.41,32.18,32.30,146100
SPY,1993-04-14,32.31,32.33,32.22,32.24,119600
SPY,1993-04-15,32.22,32.31,32.11,32.24,148600
SPY,1993-04-16,32.27,32.31,32.20,32.24,47900
SPY,1993-04-19,32.25,32.34,32.09,32.12,157000
SPY,1993-04-20,32.07,32.11,31.75,31.96,279500
SPY,1993-04-21,32.03,32.03,31.85,31.93,67900
SPY,1993-04-22,31.80,32.07,31.53,31.53,97700
SPY,1993-04-23,31.46,31.55,31.35,31.39,106000
SPY,1993-04-26,31.42,31.54,31.06,31.15,62600
SPY,1993-04-27,31.10,31.48,31.10,31.48,156800
SPY,1993-04-28,31.44,31.51,31.37,31.42,85900
SPY,1993-04-29,31.49,31.55,31.31,31.55,85000
SPY,1993-04-30,31.67,31.77,31.60,31.60,88500
SPY,1993-05-03,31.64,31.80,31.51,31.80,80500
SPY,1993-05-04,31.87,32.03,31.82,31.91,149100
SPY,1993-05-05,31.91,32.11,31.91,31.99,109000
SPY,1993-05-06,31.96,31.98,31.87,31.90,54700
SPY,1993-05-07,31.91,31.91,31.77,31.81,68000
SPY,1993-05-10,31.87,32.07,31.87,31.90,113900
SPY,1993-05-11,31.89,32.02,31.80,32.02,42600
SPY,1993-05-12,31.89,32.00,31.89,31.98,31000
SPY,1993-05-13,31.85,31.85,31.57,31.60,129100
SPY,1993-05-14,31.60,31.69,31.55,31.57,63500
SPY,1993-05-17,31.66,31.68,31.53,31.68,34000
SPY,1993-05-18,31.71,31.73,31.55,31.67,105200
SPY,1993-05-19,31.67,32.31,31.46,32.31,50200
SPY,1993-05-20,32.31,32.40,32.25,32.40,98200
SPY,1993-05-21,32.43,32.47,32.09,32.12,221400
SPY,1993-05-24,32.17,32.35,32.17,32.24,30500
SPY,1993-05-25,32.39,32.39,32.31,32.31,191800
SPY,1993-05-26,32.41,32.74,32.38,32.71,102400
SPY,1993-05-27,32.76,32.76,32.56,32.60,53800
SPY,1993-05-28,32.59,32.59,32.30,32.45,79100
SPY,1993-06-01,32.56,32.87,32.51,32.76,28300
SPY,1993-06-02,32.67,32.83,32.54,32.71,20300
SPY,1993-06-03,32.65,32.65,32.53,32.60,21600
SPY,1993-06-04,32.52,32.52,32.36,32.49,32000
SPY,1993-06-07,32.56,32.56,32.39,32.39,121400
SPY,1993-06-08,32.30,32.30,32.09,32.09,104500
SPY,1993-06-09,32.20,32.33,32.15,32.20,43300
SPY,1993-06-10,32.17,32.25,32.11,32.23,17900
SPY,1993-06-11,32.33,32.41,32.23,32.36,647400
SPY,1993-06-14,32.41,32.43,32.31,32.31,64200
SPY,1993-06-15,32.35,32.38,32.24,32.24,142400
SPY,1993-06-16,32.25,32.31,32.16,32.31,330900
SPY,1993-06-17,32.38,32.42,32.31,32.42,37400
SPY,1993-06-18,32.38,32.38,32.14,32.14,58500
SPY,1993-06-21,32.22,32.22,32.15,32.19,29300
SPY,1993-06-22,32.25,32.25,32.17,32.22,137500
SPY,1993-06-23,32.23,32.23,31.94,31.94,227600
SPY,1993-06-24,32.02,32.35,32.02,32.35,243700
SPY,1993-06-25,32.33,32.43,32.31,32.33,44800
SPY,1993-06-28,32.49,32.70,32.45,32.70,439900
SPY,1993-06-29,32.65,32.65,32.49,32.53,207500
SPY,1993-06-30,32.59,32.65,32.49,32.53,437600
SPY,1993-07-01,32.59,32.59,32.41,32.45,605700
SPY,1993-07-02,32.34,32.36,32.16,32.28,285400
SPY,1993-07-06,32.23,32.32,31.89,31.94,246400
SPY,1993-07-07,31.91,32.07,31.91,32.01,343700
SPY,1993-07-08,32.04,32.45,31.99,32.38,248200
SPY,1993-07-09,32.38,32.47,32.32,32.47,378200
SPY,1993-07-12,32.43,32.48,32.38,32.45,373700
SPY,1993-07-13,32.47,32.55,32.24,32.42,389600
SPY,1993-07-14,32.45,32.63,32.43,32.53,617300
SPY,1993-07-15,32.51,32.51,32.33,32.40,443800
SPY,1993-07-16,32.43,32.45,32.27,32.31,216400
SPY,1993-07-19,32.32,32.32,32.20,32.29,188200
SPY,1993-07-20,32.27,32.38,32.11,32.38,68500
SPY,1993-07-21,32.33,32.35,32.25,32.35,142700
SPY,1993-07-22,32.32,32.36,32.14,32.14,632400
SPY,1993-07-23,32.20,32.29,32.18,32.29,286200
SPY,1993-07-26,32.38,32.54,32.38,32.47,121300
SPY,1993-07-27,32.50,32.52,32.34,32.45,92800
SPY,1993-07-28,32.38,32.45,32.33,32.38,30800
SPY,1993-07-29,32.45,32.65,32.40,32.56,331000
SPY,1993-07-30,32.56,32.56,32.33,32.38,75300
SPY,1993-08-02,32.43,32.59,32.43,32.47,41300
SPY,1993-08-03,32.54,32.63,32.38,32.50,81600
SPY,1993-08-04,32.50,32.56,32.41,32.50,434000
SPY,1993-08-05,32.49,32.49,32.37,32.42,36800
SPY,1993-08-06,32.52,32.54,32.43,32.47,402300
SPY,1993-08-09,32.56,32.74,32.50,32.66,828200
SPY,1993-08-10,32.63,32.66,32.59,32.63,604900
SPY,1993-08-11,32.61,32.72,32.61,32.63,542200
SPY,1993-08-12,32.72,32.72,32.43,32.53,303700
SPY,1993-08-13,32.56,32.61,32.56,32.59,103500
SPY,1993-08-16,32.61,32.85,32.61,32.77,241800
SPY,1993-08-17,32.74,32.87,32.74,32.87,369300
SPY,1993-08-18,32.99,33.13,32.97,33.06,414300
SPY,1993-08-19,33.08,33.08,33.01,33.06,28500
SPY,1993-08-20,32.99,33.07,32.97,33.07,80700
SPY,1993-08-23,32.95,33.04,32.95,33.01,15600
SPY,1993-08-24,33.01,33.38,33.01,33.38,273400
SPY,1993-08-25,33.37,33.53,33.33,33.39,242300
SPY,1993-08-26,33.41,33.60,33.28,33.41,120000
SPY,1993-08-27,33.33,33.39,33.33,33.39,25700
SPY,1993-08-30,33.42,33.58,33.42,33.53,183500
SPY,1993-08-31,33.52,33.63,33.47,33.63,66500
SPY,1993-09-01,33.51,33.64,33.51,33.57,136500
SPY,1993-09-02,33.60,33.65,33.44,33.46,472400
SPY,1993-09-03,33.44,33.54,33.40,33.49,630500
SPY,1993-09-07,33.50,33.54,33.22,33.26,196400
SPY,1993-09-08,33.26,33.26,32.92,33.16,269900
SPY,1993-09-09,33.01,33.24,33.01,33.21,239200
SPY,1993-09-10,33.31,33.54,33.26,33.51,106500
SPY,1993-09-13,33.62,33.62,33.53,33.53,66900
SPY,1993-09-14,33.44,33.44,33.28,33.39,184500
SPY,1993-09-15,33.26,33.52,33.16,33.49,101000
SPY,1993-09-16,33.44,33.46,33.33,33.35,54300
SPY,1993-09-17,33.34,33.36,33.24,33.28,200900
SPY,1993-09-20,33.33,33.40,33.02,33.02,57800
SPY,1993-09-21,33.05,33.10,32.55,32.89,318200
SPY,1993-09-22,33.02,33.22,32.97,33.17,439700
SPY,1993-09-23,33.26,33.38,33.22,33.36,88500
SPY,1993-09-24,33.31,33.34,33.22,33.26,53500
SPY,1993-09-27,33.52,33.63,33.52,33.63,274600
SPY,1993-09-28,33.64,33.64,33.53,33.55,158300
SPY,1993-09-29,33.56,33.65,33.40,33.44,221000
SPY,1993-09-30,33.44,33.51,33.30,33.37,99300
SPY,1993-10-01,33.33,33.58,33.28,33.53,22700
SPY,1993-10-04,33.58,33.58,33.49,33.58,1038500
SPY,1993-10-05,33.64,33.64,33.42,33.53,436500
SPY,1993-10-06,33.56,33.70,33.51,33.51,209200
SPY,1993-10-07,33.56,33.56,33.40,33.42,59400
SPY,1993-10-08,33.52,33.54,33.22,33.46,54400
SPY,1993-10-11,33.53,33.60,33.53,33.53,467100
SPY,1993-10-12,33.58,33.61,33.56,33.58,26200
SPY,1993-10-13,33.61,33.61,33.54,33.58,139100
SPY,1993-10-14,33.71,34.00,33.62,34.00,108100
SPY,1993-10-15,34.17,34.27,34.09,34.19,1502500
SPY,1993-10-18,34.17,34.17,34.06,34.10,722400
SPY,1993-10-19,34.06,34.12,33.84,33.84,880100
SPY,1993-10-20,33.97,33.97,33.83,33.91,230400
SPY,1993-10-21,33.92,33.92,33.80,33.84,56200
SPY,1993-10-22,33.90,34.03,33.70,33.70,390700
SPY,1993-10-25,33.72,33.83,33.63,33.78,114500
SPY,1993-10-26,33.76,33.79,33.65,33.76,186200
SPY,1993-10-27,33.72,33.81,33.72,33.78,118400
SPY,1993-10-28,33.83,34.13,33.83,34.03,129600
SPY,1993-10-29,34.01,34.06,33.99,34.03,80700
SPY,1993-11-01,33.99,34.15,33.99,34.13,36400
SPY,1993-11-02,34.08,34.15,33.90,34.10,262100
SPY,1993-11-03,34.08,34.08,33.51,33.66,479100
SPY,1993-11-04,33.67,33.67,33.28,33.30,130400
SPY,1993-11-05,33.22,33.46,33.08,33.46,363200
SPY,1993-11-08,33.49,33.60,33.40,33.51,367600
SPY,1993-11-09,33.74,33.76,33.51,33.53,246900
SPY,1993-11-10,33.54,33.78,33.44,33.78,46500
SPY,1993-11-11,33.78,33.88,33.67,33.70,88900
SPY,1993-11-12,33.76,33.96,33.74,33.84,108200
SPY,1993-11-15,33.92,33.92,33.74,33.82,243300
SPY,1993-11-16,33.90,34.01,33.76,33.99,492600
SPY,1993-11-17,34.01,34.01,33.72,33.80,39600
SPY,1993-11-18,33.76,33.82,33.62,33.71,240800
SPY,1993-11-19,33.60,33.70,33.58,33.65,106000
SPY,1993-11-22,33.56,33.58,33.34,33.44,165300
SPY,1993-11-23,33.63,33.65,33.44,33.63,89700
SPY,1993-11-24,33.72,33.79,33.67,33.76,77200
SPY,1993-11-26,33.85,33.85,33.76,33.78,1019800
SPY,1993-11-29,33.88,33.94,33.65,33.65,517500
SPY,1993-11-30,33.62,33.82,33.60,33.66,230000
SPY,1993-12-01,33.85,33.87,33.71,33.71,379200
SPY,1993-12-02,33.78,33.83,33.72,33.80,352000
SPY,1993-12-03,33.79,33.95,33.79,33.95,306000
SPY,1993-12-06,33.99,34.11,33.99,34.06,99500
SPY,1993-12-07,34.06,34.09,33.99,34.03,88800
SPY,1993-12-08,34.03,34.03,33.99,34.03,146700
SPY,1993-12-09,34.03,34.08,33.88,33.92,416500
SPY,1993-12-10,33.94,33.94,33.78,33.84,412900
SPY,1993-12-13,33.85,34.06,33.81,34.06,273200
SPY,1993-12-14,34.08,34.08,33.80,33.80,41900
SPY,1993-12-15,33.85,33.88,33.76,33.76,82600
SPY,1993-12-16,33.90,33.90,33.82,33.87,78200
SPY,1993-12-17,33.93,34.06,33.90,34.04,104700
SPY,1993-12-20,34.01,34.11,33.99,34.09,68800
SPY,1993-12-21,34.03,34.03,33.92,33.96,205700
SPY,1993-12-22,34.06,34.22,33.99,34.19,410300
SPY,1993-12-23,34.18,34.24,34.13,34.18,533800
SPY,1993-12-27,34.17,34.36,34.17,34.36,447100
SPY,1993-12-28,34.34,34.45,34.32,34.42,880600
SPY,1993-12-29,34.45,34.47,34.35,34.38,266700
SPY,1993-12-30,34.35,34.35,34.17,34.23,219900
SPY,1993-12-31,34.31,34.35,34.03,34.06,312900
SPY,1994-01-03,34.05,34.10,33.92,33.96,960900
SPY,1994-01-04,34.01,34.11,33.97,34.11,164300
SPY,1994-01-05,34.15,34.20,34.01,34.18,710900
SPY,1994-01-06,34.22,34.24,34.13,34.18,201000
SPY,1994-01-07,34.24,34.40,34.15,34.38,775500
SPY,1994-01-10,34.42,34.78,34.33,34.78,593700
SPY,1994-01-11,34.77,34.77,34.61,34.72,295200
SPY,1994-01-12,34.74,34.74,34.50,34.60,158400
SPY,1994-01-13,34.51,34.58,34.47,34.51,244300
SPY,1994-01-14,34.63,34.72,34.63,34.66,137200
SPY,1994-01-17,34.66,34.70,34.58,34.66,17700
SPY,1994-01-18,34.70,34.74,34.63,34.70,166400
SPY,1994-01-19,34.66,34.70,34.54,34.60,200800
SPY,1994-01-20,34.65,34.72,34.63,34.70,281100
SPY,1994-01-21,34.74,34.74,34.61,34.64,85600
SPY,1994-01-24,34.60,34.77,34.49,34.49,373800
SPY,1994-01-25,34.52,34.54,34.42,34.49,310400
SPY,1994-01-26,34.50,34.61,34.45,34.58,145100
SPY,1994-01-27,34.66,34.95,34.61,34.90,344500
SPY,1994-01-28,35.04,35.10,34.99,34.99,356500
SPY,1994-01-31,35.13,35.31,35.08,35.24,313800
SPY,1994-02-01,35.20,35.20,35.02,35.06,303600
SPY,1994-02-02,35.19,35.30,35.16,35.30,307600
SPY,1994-02-03,35.22,35.22,35.02,35.12,466100
SPY,1994-02-04,35.13,35.18,34.33,34.33,1403200
SPY,1994-02-07,34.24,34.58,34.24,34.49,516400
SPY,1994-02-08,34.56,34.56,34.38,34.51,188200
SPY,1994-02-09,34.54,34.68,34.49,34.66,144600
SPY,1994-02-10,34.63,34.65,34.36,34.36,883900
SPY,1994-02-11,34.38,34.56,34.22,34.47,519400
SPY,1994-02-14,34.40,34.63,34.35,34.51,2742100
