symbol,date,open,high,low,close,volume
UGA,2008-02-28,49.54,49.89,49.20,49.79,9800
UGA,2008-02-29,49.77,49.84,49.40,49.61,6100
UGA,2008-03-03,50.80,50.80,49.70,49.81,9200
UGA,2008-03-04,49.86,49.87,47.28,47.45,27700
UGA,2008-03-05,48.11,49.24,47.77,49.05,21600
UGA,2008-03-06,48.68,49.44,48.12,49.37,19500
UGA,2008-03-07,49.34,50.25,49.05,50.23,21200
UGA,2008-03-10,49.51,50.74,49.19,50.61,35100
UGA,2008-03-11,50.69,50.79,49.78,50.70,27700
UGA,2008-03-12,50.70,50.93,49.90,50.92,28600
UGA,2008-03-13,50.36,50.70,49.18,49.94,43300
UGA,2008-03-14,49.52,50.12,49.41,50.05,11400
UGA,2008-03-17,47.97,49.01,46.00,46.87,32000
UGA,2008-03-18,47.01,49.78,47.01,48.98,24500
UGA,2008-03-19,48.14,49.09,47.41,47.54,10600
UGA,2008-03-20,47.02,48.39,46.90,48.07,37900
UGA,2008-03-24,48.75,49.09,48.40,48.46,11100
UGA,2008-03-25,49.14,49.49,48.27,49.49,14100
UGA,2008-03-26,49.53,50.91,49.51,50.32,16400
UGA,2008-03-27,50.25,50.27,49.50,50.11,8800
UGA,2008-03-28,49.90,50.05,49.72,50.01,2200
UGA,2008-03-31,50.10,50.61,48.00,48.51,11900
UGA,2008-04-01,48.01,49.13,47.97,48.84,8000
UGA,2008-04-02,49.08,51.37,48.93,51.13,51400
UGA,2008-04-03,50.22,51.03,50.22,50.42,7700
UGA,2008-04-04,50.51,51.09,50.00,50.90,15800
UGA,2008-04-07,51.19,51.58,51.19,51.43,24000
UGA,2008-04-08,51.03,51.07,50.63,50.96,12300
UGA,2008-04-09,51.35,52.09,51.09,51.29,50500
UGA,2008-04-10,51.17,51.67,50.63,51.54,23900
UGA,2008-04-11,50.92,51.81,50.83,51.81,3200
UGA,2008-04-14,51.89,52.40,51.82,52.15,13300
UGA,2008-04-15,52.84,53.34,52.67,53.29,20500
UGA,2008-04-16,53.15,54.28,52.98,53.97,34300
UGA,2008-04-17,54.63,54.82,54.36,54.47,37000
UGA,2008-04-18,54.00,55.17,52.70,55.11,19400
UGA,2008-04-21,55.01,55.24,54.66,55.12,15700
UGA,2008-04-22,54.79,55.94,54.67,55.65,16400
UGA,2008-04-23,55.76,56.36,55.38,56.29,24900
UGA,2008-04-24,55.96,56.21,54.97,55.68,28800
UGA,2008-04-25,56.21,56.94,56.12,56.38,21600
